City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,chuy,-33.6971,-53.4616,25.45,63,43,1.82,UY,1680123214
84,vaini,-21.2,-175.2,27.09,78,20,3.09,TO,1680123214
85,rangoon,16.8053,96.1561,24.98,83,20,4.12,MM,1680123192
86,khasan,42.4308,130.6434,3.71,79,31,0.91,RU,1680123214
87,baruun-urt,46.6806,113.2792,2.09,53,6,1.29,MN,1680123215
88,mount gambier,-37.8333,140.7667,10.54,92,28,2.14,AU,1680123215
89,suoyarvi,62.0833,32.35,-2.95,96,100,4.37,RU,1680123216
90,awjilah,29.1081,21.2869,15.53,31,0,4.07,LY,1680123216
91,mount isa,-20.7333,139.5,23.87,57,12,3.6,AU,1680123217
92,marsh harbour,26.5412,-77.0636,24.75,74,6,6.91,BS,1680123217
93,port alfred,-33.5906,26.891,15.1,73,97,1.79,ZA,1680123217
94,xining,36.6167,101.7667,6.07,57,100,1.4,CN,1680123218
95,mataura,-46.1927,168.8643,7.49,67,12,2.03,NZ,1680123037
96,araguacu,-12.9306,-49.8264,26.49,75,68,0.96,BR,1680123218
97,dikson,73.5069,80.5464,-19.67,99,100,3.71,RU,1680123219
98,punta arenas,-53.15,-70.9167,7.01,56,40,2.57,CL,1680123036
99,torrington,41.8007,-73.1212,13.12,30,69,2.24,US,1680123219
100,lebu,-37.6167,-73.65,13.28,60,17,7.51,CL,1680123220
101,coquimbo,-29.9533,-71.3436,19.85,72,20,6.69,CL,1680123005
102,cadillac,44.2519,-85.4012,-1.23,43,100,6.17,US,1680123220
103,bambous virieux,-20.3428,57.7575,27.14,83,40,5.14,MU,1680123220
104,maltahohe,-24.8333,16.9833,18.65,19,0,5.09,NA,1680123221
105,carnarvon,-24.8667,113.6333,23.8,78,100,2.11,AU,1680123221
106,hilo,19.7297,-155.09,27.93,81,100,5.66,US,1680123039
107,katangli,51.7102,143.2326,-3.83,83,72,2.62,RU,1680123221
108,tahta,26.7693,31.5021,19.13,33,0,7.9,EG,1680123221
109,kruisfontein,-34.0033,24.7314,13.82,74,49,6.2,ZA,1680123222
110,port hedland,-20.3167,118.5667,29.03,79,100,4.12,AU,1680123223
111,meulaboh,4.1363,96.1285,24.77,88,16,1.51,ID,1680123224
112,cayenne,4.9333,-52.3333,27.02,78,100,4.63,GF,1680123225
113,sedhiou,12.7081,-15.5569,28.57,33,26,3.77,SN,1680123225
114,bethel,41.3712,-73.414,12.79,34,80,1.34,US,1680123225
115,tolaga bay,-38.3667,178.3,15.54,55,46,4.51,NZ,1680123225
116,atuona,-9.8,-139.0333,27.2,78,44,7.12,PF,1680123226
117,kaeo,-35.1,173.7833,12.4,77,100,3.0,NZ,1680123226
118,kapaa,22.0752,-159.319,23.18,88,100,5.66,US,1680123227
119,cockburn town,21.4612,-71.1419,27.98,61,40,4.63,TC,1680123226
120,gejiu,23.306,103.1635,8.63,95,8,1.9,CN,1680123227
121,scarborough,54.2797,-0.4044,12.76,89,99,4.02,GB,1680123032
122,fortuna,40.5982,-124.1573,13.53,60,92,2.68,US,1680123227
123,constitucion,-35.3333,-72.4167,16.95,55,17,8.61,CL,1680123228
124,yulara,-25.2406,130.9889,20.16,48,79,6.19,AU,1680123228
125,woodward,36.4337,-99.3904,21.65,19,0,8.23,US,1680123228
126,tuatapere,-46.1333,167.6833,5.19,75,83,2.07,NZ,1680123228
127,cherskiy,68.75,161.3,-27.75,100,94,0.16,RU,1680123228
128,turukhansk,65.8167,87.9833,-27.67,100,97,2.31,RU,1680123229
129,bluefields,12.0137,-83.7635,29.04,74,75,2.06,NI,1680123065
130,oranjestad,12.524,-70.027,28.97,71,20,12.86,AW,1680123213
131,baraki barak,33.9675,68.9486,5.9,91,100,0.52,AF,1680123229
132,olhao,37.0286,-7.8411,17.27,69,0,2.57,PT,1680123229
133,lorengau,-2.0226,147.2712,27.23,78,96,2.41,PG,1680123230
134,mar del plata,-38.0023,-57.5575,18.38,54,40,6.17,AR,1680123230
135,elko,41.0002,-115.5012,1.24,81,100,5.36,US,1680123230
136,caucaia,-3.7361,-38.6531,27.97,77,40,3.09,BR,1680123230
137,taywarah,33.35,64.4167,2.29,94,100,0.42,AF,1680123231
138,tongzi,28.7829,105.0877,14.4,81,100,0.79,CN,1680123231
139,lakes entrance,-37.8811,147.981,13.42,73,85,8.43,AU,1680123231
140,igrim,63.1906,64.4162,-15.91,93,4,1.25,RU,1680123231
141,jamui,24.9167,86.2167,25.24,25,73,1.47,IN,1680123232
142,grand gaube,-20.0064,57.6608,27.22,77,70,0.89,MU,1680123232
143,talnakh,69.4865,88.3972,-28.11,100,100,2.6,RU,1680123232
144,ternate,0.8,127.4,26.53,80,99,3.29,ID,1680123233
145,kangaba,11.9333,-8.4167,29.67,51,76,4.02,ML,1680123233
146,aykhal,66.0,111.5,-18.48,98,100,3.2,RU,1680123233
147,dibulla,11.2725,-73.3091,28.95,60,43,5.66,CO,1680123233
148,evensk,61.95,159.2333,-16.92,91,30,2.55,RU,1680123233
149,namatanai,-3.6667,152.4333,26.43,81,99,1.5,PG,1680123233
150,dongli,23.5656,116.8194,16.99,94,100,2.0,CN,1680123234
151,houston,29.7633,-95.3633,21.3,59,100,4.63,US,1680123185
152,dongsheng,39.8161,109.9776,6.79,23,46,2.6,CN,1680123235
153,nikolskoye,59.7035,30.7861,-3.06,90,100,3.77,RU,1680123235
154,kismayo,-0.3582,42.5454,27.53,75,7,5.78,SO,1680123235
155,bandarbeyla,9.4942,50.8122,27.01,74,14,2.45,SO,1680123235
156,faya,18.3851,42.4509,17.06,62,2,1.6,SA,1680123235
157,esperance,-33.8667,121.9,15.11,85,100,3.83,AU,1680123236
158,kojnare,43.35,24.1333,4.06,56,42,1.98,BG,1680123236
159,flinders,-34.5833,150.8552,15.66,81,13,1.34,AU,1680123236
160,cidreira,-30.1811,-50.2056,25.14,80,25,5.34,BR,1680123236
161,huangchuan,32.1272,115.0394,11.59,76,96,2.05,CN,1680123236
162,nata,8.3333,-80.5167,32.93,35,1,8.98,PA,1680123237
163,bengkulu,-3.8004,102.2655,24.13,88,96,1.89,ID,1680123237
164,sur,22.5667,59.5289,24.73,42,0,2.75,OM,1680123237
165,tiksi,71.6872,128.8694,-30.64,100,78,2.9,RU,1680123238
166,yazoo city,32.8551,-90.4056,18.84,33,35,1.87,US,1680122947
167,mildura,-34.2,142.15,8.93,87,0,3.77,AU,1680123238
168,dickinson,29.4608,-95.0513,20.05,69,100,2.68,US,1680123238
169,chipinge,-20.1883,32.6236,16.02,81,5,1.35,ZW,1680123238
170,seka,17.9285,103.9552,23.69,78,0,1.48,TH,1680123239
171,manokwari,-0.8667,134.0833,25.28,78,99,0.88,ID,1680123239
172,sinnamary,5.3833,-52.95,25.9,82,32,5.3,GF,1680123239
173,hofn,64.2539,-15.2082,3.21,97,100,11.46,IS,1680123239
174,zhengjiatun,43.5064,123.5064,6.94,48,79,1.26,CN,1680123240
175,lazaro cardenas,17.9583,-102.2,29.74,47,93,4.95,MX,1680123241
176,vao,-22.6667,167.4833,24.62,76,76,3.74,NC,1680123242
177,soyo,-6.1349,12.3689,27.04,80,29,3.7,AO,1680123242
178,dalby,-27.1833,151.2667,21.26,81,100,2.15,AU,1680123243
179,thompson,55.7435,-97.8558,-3.91,46,100,7.2,CA,1680123243
180,la salle,41.3334,-89.0918,6.25,26,40,4.63,US,1680123216
181,comodoro rivadavia,-45.8667,-67.5,15.92,25,0,6.69,AR,1680122980
182,pimentel,-6.8367,-79.9342,31.16,58,40,3.6,PE,1680123244
183,eisenerz,47.5333,14.8833,2.47,84,100,1.2,AT,1680123245
184,naze,28.3667,129.4833,16.51,84,100,7.32,JP,1680123246
185,faanui,-16.4833,-151.75,28.19,74,89,4.44,PF,1680123246
186,bismil,37.8486,40.6658,11.06,75,99,4.71,TR,1680123247
187,chokurdakh,70.6333,147.9167,-30.44,100,100,2.27,RU,1680123248
188,villa de cura,10.0386,-67.4894,34.36,33,36,3.33,VE,1680123249
189,ancud,-41.8697,-73.8203,11.4,67,96,4.38,CL,1680123249
190,fraga,41.5229,0.3489,15.46,69,23,2.42,ES,1680123249
191,geraldton,-28.7667,114.6,23.23,78,12,8.23,AU,1680123250
192,richards bay,-28.783,32.0377,20.77,89,97,5.16,ZA,1680123250
193,batagay-alyta,67.8006,130.4114,-28.43,90,82,1.76,RU,1680123250
194,lagoa,39.05,-27.9833,16.01,79,100,12.42,PT,1680123251
195,olafsvik,64.8945,-23.7142,1.86,95,100,7.89,IS,1680123251
196,ilulissat,69.2167,-51.1,-23.34,92,1,1.1,GL,1680123252
197,te anau,-45.4167,167.7167,4.06,82,67,0.5,NZ,1680123252
198,formosa do rio preto,-11.0483,-45.1931,25.56,60,100,1.18,BR,1680123253
199,montecristo,8.2971,-74.4733,29.5,77,100,0.91,CO,1680123253
200,tasiilaq,65.6145,-37.6368,-15.15,73,4,1.14,GL,1680123254
201,guskhara,23.5,87.75,24.82,75,0,2.82,IN,1680123254
202,pitea,65.3172,21.4794,-9.95,93,22,2.56,SE,1680123255
203,pevek,69.7008,170.3133,-15.86,93,100,4.38,RU,1680123255
204,la ronge,55.1001,-105.2842,0.14,43,75,3.6,CA,1680123256
205,carauari,-4.8828,-66.8958,24.13,97,99,0.83,BR,1680123256
206,ullal,12.8,74.85,25.53,78,46,1.54,IN,1680123257
207,tacoronte,28.4769,-16.4102,22.13,26,0,4.12,ES,1680123257
208,quelimane,-17.8786,36.8883,23.97,88,0,0.0,MZ,1680123257
209,aracati,-4.5617,-37.7697,26.39,80,89,4.07,BR,1680123258
210,torfyanoy,58.4916,49.1979,-3.37,85,62,4.72,RU,1680123258
211,saint-paul,-21.0096,55.2707,26.06,93,64,0.45,RE,1680123258
212,porto novo,6.4965,2.6036,28.9,80,64,3.75,BJ,1680123259
213,ponta do sol,32.6667,-17.1,21.74,32,17,1.47,PT,1680123259
214,paamiut,61.994,-49.6678,-9.27,75,9,2.35,GL,1680123259
215,kamaishi,39.2667,141.8833,5.61,83,6,2.09,JP,1680123260
216,sandpoint,48.2766,-116.5533,12.6,32,40,4.12,US,1680123261
217,tiznit,29.5833,-9.5,25.01,19,0,0.71,MA,1680123261
218,coolum beach,-26.5333,153.1,23.95,90,100,2.26,AU,1680123262
219,fortuna foothills,32.6578,-114.4119,26.79,13,0,3.09,US,1680123262
220,hornepayne,49.2138,-84.7705,-7.72,80,100,4.77,CA,1680123263
221,kahului,20.8947,-156.47,27.2,70,20,3.58,US,1680123038
222,springdale,36.1867,-94.1288,18.36,37,0,4.63,US,1680123174
223,okhotsk,59.3833,143.3,-7.34,95,100,2.38,RU,1680123264
224,trairi,-3.2778,-39.2689,25.45,85,56,3.04,BR,1680123004
225,marienburg,54.0359,19.0266,5.49,75,100,4.33,PL,1680123264
226,kushima,31.4583,131.2333,12.32,64,100,2.48,JP,1680123265
227,bembereke,10.2283,2.6634,29.98,15,20,1.94,BJ,1680123265
228,mattoon,39.4831,-88.3728,14.74,44,99,4.41,US,1680123266
229,nevelsk,46.6733,141.8633,3.49,85,10,8.89,RU,1680123266
230,cabo san lucas,22.8909,-109.9124,27.56,49,100,3.18,MX,1680123151
231,andros town,24.7,-77.7667,27.98,66,56,3.37,BS,1680123027
232,flin flon,54.7682,-101.865,-1.09,34,40,6.17,CA,1680123268
233,bhadohi,25.4167,82.5667,25.07,26,56,0.7,IN,1680123268
234,tarlungeni,45.6333,25.75,-2.78,59,2,2.15,RO,1680123269
235,east london,-33.0153,27.9116,17.28,66,94,6.91,ZA,1680123245
236,tikhvin,59.6451,33.5294,-0.99,96,100,4.0,RU,1680123270
237,yerbogachen,61.2767,108.0108,1.74,99,100,6.27,RU,1680123270
238,sao filipe,14.8961,-24.4956,25.22,58,91,3.18,CV,1680123271
239,manta,-0.95,-80.7333,28.88,74,75,2.57,EC,1680123271
240,pemba,-12.974,40.5178,24.64,90,100,3.87,MZ,1680123272
241,kavaratti,10.5669,72.642,27.35,71,28,4.54,IN,1680123052
242,shimoda,34.6667,138.95,11.17,83,15,4.39,JP,1680123272
243,tallahassee,30.4383,-84.2807,20.93,56,100,0.45,US,1680123185
244,littlehampton,50.8069,-0.5378,12.66,87,99,11.51,GB,1680123273
245,nizhneudinsk,54.9076,99.0276,0.69,88,25,1.74,RU,1680123273
246,zaraza,9.3503,-65.3245,34.32,23,96,4.17,VE,1680123274
247,alofi,-19.0595,-169.9187,27.94,83,75,2.06,NU,1680123274
248,qaqortoq,60.7167,-46.0333,-4.77,81,17,0.59,GL,1680123275
249,amuntai,-2.4177,115.2494,22.55,99,100,0.68,ID,1680123130
250,nome,64.5011,-165.4064,-4.38,93,100,9.77,US,1680123275
251,trelew,-43.249,-65.3051,16.64,17,86,8.62,AR,1680123276
252,hithadhoo,-0.6,73.0833,27.76,76,34,2.73,MV,1680123276
253,saldanha,-33.0117,17.9442,16.12,79,67,8.76,ZA,1680123276
254,corozal,9.3151,-75.2928,30.43,55,90,4.17,CO,1680123276
255,sitka,57.0531,-135.33,5.01,67,92,3.35,US,1680123277
256,saint-pierre,-21.3393,55.4781,25.82,83,40,4.63,RE,1680123277
257,kedrovyy,56.1667,91.8167,6.23,98,100,2.96,RU,1680123278
258,nanortalik,60.1432,-45.2371,-2.87,88,64,2.64,GL,1680123278
259,miyako,39.6367,141.9525,4.9,79,0,1.49,JP,1680123142
260,kotido,2.9806,34.1331,22.68,61,6,2.41,UG,1680123279
261,anloga,5.7947,0.8973,28.1,83,23,5.37,GH,1680123279
262,sovetskiy,61.3614,63.5842,-14.23,96,7,1.67,RU,1680123279
263,laguna,38.421,-121.4238,12.1,65,100,9.26,US,1680123279
264,jacqueville,5.2052,-4.4146,26.96,85,100,2.55,CI,1680123280
265,norman wells,65.282,-126.8329,-8.98,67,75,5.14,CA,1680123091
266,souillac,-20.5167,57.5167,27.21,83,40,5.14,MU,1680123281
267,lasa,46.6166,10.7002,8.9,96,88,2.31,IT,1680123281
268,bitkine,11.9801,18.2138,33.69,18,89,0.87,TD,1680123281
269,mafinga,-7.25,35.0667,17.78,89,88,1.6,TZ,1680123282
270,umm kaddadah,13.6017,26.6876,24.58,9,11,5.57,SD,1680123282
271,gimli,50.6336,-96.9907,-5.99,58,94,5.66,CA,1680123282
272,hobyo,5.3505,48.5268,27.54,75,21,3.72,SO,1680123282
273,dunedin,-45.8742,170.5036,8.78,81,67,3.34,NZ,1680123174
274,fairbanks,64.8378,-147.7164,-1.06,51,100,0.51,US,1680123039
275,kolobrzeg,54.1757,15.5834,4.98,64,100,3.78,PL,1680123283
276,barvinkove,48.9097,37.0205,1.82,74,100,5.01,UA,1680123283
277,mezen,65.8522,44.24,-2.97,88,100,5.87,RU,1680123283
278,dolzhanskaya,46.6311,37.8039,3.99,67,100,9.95,RU,1680123284
279,jasper,37.2001,-94.3502,18.82,30,8,1.79,US,1680123284
280,maragogi,-9.0122,-35.2225,26.06,82,30,4.15,BR,1680123284
281,maldonado,-34.6667,-54.9167,24.66,78,40,6.12,UY,1680123118
282,olavarria,-36.8927,-60.3225,17.44,38,4,5.33,AR,1680123285
283,auki,-8.7676,160.7034,26.03,86,99,1.69,SB,1680123285
284,havre-saint-pierre,50.2334,-63.5986,1.2,86,20,4.12,CA,1680123285
285,jingdezhen,29.2947,117.2079,11.22,95,100,0.44,CN,1680123286
286,pangkalanbuun,-2.6833,111.6167,23.02,99,100,1.09,ID,1680123286
287,pombas,17.1503,-25.0201,23.88,66,47,3.47,CV,1680123286
288,palu,-0.8917,119.8707,23.55,96,84,1.0,ID,1680123286
289,taoudenni,22.6783,-3.9836,32.02,7,1,7.83,ML,1680123286
290,abdanan,32.9926,47.4198,14.29,52,1,0.82,IR,1680123287
291,innisfail,-17.5333,146.0333,21.21,90,8,1.91,AU,1680123287
292,nizhniy kuranakh,58.8353,125.4869,-20.37,99,71,1.78,RU,1680123091
293,tura,25.5198,90.2201,19.26,78,28,1.57,IN,1680123288
294,sayyan,15.1718,44.3244,14.76,74,98,0.58,YE,1680123035
295,kuala lipis,4.1842,102.0468,21.92,98,20,0.4,MY,1680123288
296,batagay,67.6333,134.6333,-26.68,100,100,1.14,RU,1680123288
297,sisimiut,66.9395,-53.6735,-11.99,75,6,3.38,GL,1680123288
298,dalbandin,28.8947,64.4101,17.28,52,13,0.78,PK,1680123289
299,bereda,43.2686,-7.5406,15.32,89,80,4.53,ES,1680123289
300,witu,-2.3889,40.4382,28.09,80,20,2.88,KE,1680123289
301,dolores,-36.3132,-57.6792,21.11,49,30,5.37,AR,1680123289
302,batticaloa,7.7102,81.6924,24.39,81,17,1.75,LK,1680123060
303,beloha,-25.1667,45.05,20.94,81,0,3.91,MG,1680123290
304,nyurba,63.2842,118.3319,-12.16,95,100,3.98,RU,1680123290
305,ugoofaaru,5.6667,73.0,28.44,70,76,1.67,MV,1680123290
306,bemidji,47.4736,-94.8803,-4.13,53,0,7.2,US,1680123291
307,subirana,15.2,-87.45,30.01,34,14,4.08,HN,1680123291
308,ahuimanu,21.4447,-157.8378,26.84,88,100,0.0,US,1680123292
309,boa vista,2.8197,-60.6733,32.99,40,40,4.63,BR,1680123098
310,tuktoyaktuk,69.4541,-133.0374,-18.0,71,0,2.06,CA,1680123293
311,walvis bay,-22.9575,14.5053,16.19,83,3,7.3,NA,1680123293
312,matagami,49.7502,-77.6328,-9.94,79,100,7.2,CA,1680123293
313,provideniya,64.3833,-173.3,-4.76,89,100,6.87,RU,1680123293
314,svetlyy,54.675,20.1347,5.03,71,100,6.18,RU,1680123294
315,ostrovnoy,68.0531,39.5131,-2.88,90,100,9.36,RU,1680123294
316,kloulklubed,7.0419,134.2556,28.05,69,19,0.75,PW,1680123295
317,qeshm,26.9581,56.2719,22.94,76,0,7.17,IR,1680123295
318,neuquen,-38.9516,-68.0591,19.94,30,0,1.03,AR,1680123295
319,vardo,70.3705,31.1107,-0.77,94,100,14.15,NO,1680123296
320,dalvik,65.9702,-18.5286,2.96,91,100,3.99,IS,1680123296
321,langsa,4.4683,97.9683,22.91,93,12,0.86,ID,1680123296
322,coihaique,-45.5752,-72.0662,6.97,76,100,1.54,CL,1680123008
323,saint anthony,45.0205,-93.218,-1.41,42,20,4.12,US,1680123297
324,isangel,-19.55,169.2667,26.49,79,85,2.53,VU,1680123297
325,kyra,49.5776,111.9753,-1.05,84,21,1.61,RU,1680123297
326,hammond,41.5834,-87.5,7.91,55,0,5.66,US,1680123297
327,ranau,5.9538,116.6641,19.83,97,51,0.47,MY,1680123298
328,umm lajj,25.0213,37.2685,24.44,54,100,3.28,SA,1680123298
329,playa del carmen,20.6274,-87.0799,30.01,55,23,3.21,MX,1680123298
330,sinjar,36.3209,41.8754,11.7,61,56,5.45,IQ,1680123298
331,hirado,33.3597,129.5531,12.78,56,98,3.74,JP,1680123299
332,luau,-10.7073,22.2247,18.49,93,79,0.38,AO,1680123299
333,sibolga,1.7427,98.7792,23.94,90,99,1.56,ID,1680123299
334,santa rosa,14.3122,121.1114,25.99,85,98,1.78,PH,1680123007
335,mazyr,52.0495,29.2456,-3.41,87,73,4.82,BY,1680123300
336,gorontalo,0.5412,123.0595,23.49,92,100,1.3,ID,1680123300
337,vila do maio,15.1333,-23.2167,26.44,79,99,5.49,CV,1680123300
338,torbay,47.6666,-52.7314,1.82,88,100,7.2,CA,1680123301
339,babushkin,51.7122,105.8647,1.02,81,20,2.66,RU,1680123302
340,sechura,-5.5569,-80.8222,26.94,75,98,3.75,PE,1680123302
341,talkha,31.0539,31.3779,10.53,64,20,2.55,EG,1680123303
342,mangan,27.5167,88.5333,15.71,62,84,2.29,IN,1680123303
343,araouane,18.9048,-3.5265,29.74,8,0,4.99,ML,1680123303
344,paita,-5.0892,-81.1144,27.1,76,97,6.03,PE,1680123304
345,longyearbyen,78.2186,15.6401,-13.09,85,75,3.6,SJ,1680123305
346,am timan,11.0297,20.2827,31.62,15,33,2.22,TD,1680123305
347,panaba,21.2833,-88.2667,30.77,47,64,8.58,MX,1680123306
348,matamoros,25.5333,-103.25,25.06,43,100,1.56,MX,1680123306
349,imeni poliny osipenko,52.4201,136.4853,-1.13,96,100,1.57,RU,1680123307
350,brazzaville,-4.2658,15.2832,23.55,86,76,2.5,CG,1680123307
351,praia,14.9215,-23.5087,26.3,50,0,6.17,CV,1680123307
352,taltal,-25.4,-70.4833,21.79,73,23,2.44,CL,1680123308
353,suozhen,36.9539,118.1047,11.61,50,2,2.48,CN,1680123308
354,lakhnau,26.85,80.9167,25.99,57,40,1.03,IN,1680123083
355,bathsheba,13.2167,-59.5167,28.34,61,40,8.75,BB,1680123309
356,viedma,-40.8135,-62.9967,14.45,20,0,4.88,AR,1680123058
357,kazachinskoye,57.6953,93.2761,-2.2,85,99,4.8,RU,1680123310
358,sorland,67.667,12.6934,-2.08,51,7,2.51,NO,1680123310
359,altamont,42.2068,-121.7372,6.33,61,100,2.24,US,1680123310
360,priyutnoye,46.1011,43.5072,11.73,71,100,4.57,RU,1680123311
361,sorong,-0.8833,131.25,26.47,80,100,1.35,ID,1680123312
362,heihe,50.2441,127.4902,0.32,51,10,5.97,CN,1680123312
363,birjand,32.8663,59.2211,10.26,76,0,2.06,IR,1680123313
364,jiblah,13.9216,44.1467,17.47,71,100,1.51,YE,1680123313
365,hue,16.4667,107.6,21.26,96,81,1.18,VN,1680123313
366,yumen,40.2833,97.2,5.77,20,0,0.31,CN,1680123314
367,juybar,36.6412,52.9124,18.05,52,0,2.58,IR,1680123314
